IND,SOC_LABEL,SEX,RACE_HISP,TOTALS
1080,Architecture and Engineering Occupations,1,Hispanic Multiracial,16
1080,Architecture and Engineering Occupations,1,Hispanic Other,24
1080,Architecture and Engineering Occupations,1,Non-Hispanic White,120
1080,Architecture and Engineering Occupations,2,Non-Hispanic White,23
1080,Building and Grounds Cleaning and Maintenance Occupations,1,Hispanic White,104
1080,Building and Grounds Cleaning and Maintenance Occupations,1,Non-Hispanic Black,18
1080,Building and Grounds Cleaning and Maintenance Occupations,1,Non-Hispanic White,41
1080,Building and Grounds Cleaning and Maintenance Occupations,2,Hispanic Other,29
1080,Business and Financial Operations Occupations,1,Hispanic White,9
1080,Business and Financial Operations Occupations,1,Non-Hispanic Asian,17
1080,Business and Financial Operations Occupations,1,Non-Hispanic White,163
1080,Business and Financial Operations Occupations,2,Hispanic Other,27
1080,Business and Financial Operations Occupations,2,Hispanic White,76
1080,Business and Financial Operations Occupations,2,Non-Hispanic Asian,15
1080,Business and Financial Operations Occupations,2,Non-Hispanic Black,52
1080,Business and Financial Operations Occupations,2,Non-Hispanic White,233
1080,Computer and Mathematical Occupations,1,Hispanic White,12
1080,Computer and Mathematical Occupations,1,Non-Hispanic White,16
1080,Computer and Mathematical Occupations,2,Non-Hispanic Asian,6
1080,Computer and Mathematical Occupations,2,Non-Hispanic White,78
1080,Construction and Extraction Occupations,1,Hispanic White,14
1080,Construction and Extraction Occupations,1,Non-Hispanic Asian,16
1080,Construction and Extraction Occupations,1,Non-Hispanic White,53
1080,"Educations, Library, and Training Occupations",1,Non-Hispanic White,18
1080,"Educations, Library, and Training Occupations",2,Non-Hispanic Black,61
1080,"Educations, Library, and Training Occupations",2,Non-Hispanic White,14
1080,Food Preparation and Service Occupations,1,Non-Hispanic White,17
1080,Food Preparation and Service Occupations,2,Non-Hispanic Black,53
1080,Food Preparation and Service Occupations,2,Non-Hispanic White,16
1080,"Installation, Maintenance, and Repair Occupations",1,Hispanic Multiracial,18
1080,"Installation, Maintenance, and Repair Occupations",1,Hispanic Other,42
1080,"Installation, Maintenance, and Repair Occupations",1,Hispanic White,70
1080,"Installation, Maintenance, and Repair Occupations",1,Non-Hispanic White,201
1080,Legal Occupations,1,Non-Hispanic White,26
1080,"Life, Physical, and Social Science Occupations",1,Hispanic White,43
1080,"Life, Physical, and Social Science Occupations",1,Non-Hispanic White,42
1080,"Life, Physical, and Social Science Occupations",2,Non-Hispanic White,54
1080,Management Occupations,1,Hispanic Other,148
1080,Management Occupations,1,Hispanic White,138
1080,Management Occupations,1,Non-Hispanic Asian,85
1080,Management Occupations,1,Non-Hispanic White,406
1080,Management Occupations,2,Non-Hispanic Asian,66
1080,Management Occupations,2,Non-Hispanic Black,56
1080,Management Occupations,2,Non-Hispanic White,384
1080,Office and Administrative Support Occupations,1,Hispanic Other,58
1080,Office and Administrative Support Occupations,1,Hispanic White,53
1080,Office and Administrative Support Occupations,1,Non-Hispanic Black,45
1080,Office and Administrative Support Occupations,1,Non-Hispanic White,95
1080,Office and Administrative Support Occupations,2,Hispanic Other,54
1080,Office and Administrative Support Occupations,2,Hispanic White,58
1080,Office and Administrative Support Occupations,2,Non-Hispanic Asian,24
1080,Office and Administrative Support Occupations,2,Non-Hispanic Black,125
1080,Office and Administrative Support Occupations,2,Non-Hispanic White,411
1080,Personal Care and Service Occupations,2,Non-Hispanic White,13
1080,Production Occupations,1,Hispanic Other,539
1080,Production Occupations,1,Hispanic White,700
1080,Production Occupations,1,Non-Hispanic Asian,65
1080,Production Occupations,1,Non-Hispanic Black,331
1080,Production Occupations,1,Non-Hispanic Other,44
1080,Production Occupations,1,Non-Hispanic White,377
1080,Production Occupations,2,Hispanic Black,14
1080,Production Occupations,2,Hispanic Other,657
1080,Production Occupations,2,Hispanic White,516
1080,Production Occupations,2,Non-Hispanic Asian,43
1080,Production Occupations,2,Non-Hispanic Black,183
1080,Production Occupations,2,Non-Hispanic Multiracial,75
1080,Production Occupations,2,Non-Hispanic White,378
1080,Sales and Related Occupations,1,Non-Hispanic Asian,15
1080,Sales and Related Occupations,1,Non-Hispanic White,55
1080,Sales and Related Occupations,2,Hispanic Other,36
1080,Sales and Related Occupations,2,Non-Hispanic Black,35
1080,Sales and Related Occupations,2,Non-Hispanic White,66
1080,Tarnsportation and Material Moving Occupations,1,Hispanic Other,196
1080,Tarnsportation and Material Moving Occupations,1,Hispanic White,190
1080,Tarnsportation and Material Moving Occupations,1,Non-Hispanic Black,94
1080,Tarnsportation and Material Moving Occupations,1,Non-Hispanic Multiracial,28
1080,Tarnsportation and Material Moving Occupations,1,Non-Hispanic White,264
1080,Tarnsportation and Material Moving Occupations,2,Hispanic Other,148
1080,Tarnsportation and Material Moving Occupations,2,Hispanic White,228
1080,Tarnsportation and Material Moving Occupations,2,Non-Hispanic Asian,13
1080,Tarnsportation and Material Moving Occupations,2,Non-Hispanic Black,37
1090,Architecture and Engineering Occupations,1,Non-Hispanic White,17
1090,Architecture and Engineering Occupations,2,Hispanic White,16
1090,Building and Grounds Cleaning and Maintenance Occupations,1,Hispanic Other,23
1090,Building and Grounds Cleaning and Maintenance Occupations,1,Hispanic White,13
1090,Building and Grounds Cleaning and Maintenance Occupations,1,Non-Hispanic White,16
1090,Business and Financial Operations Occupations,1,Hispanic Other,61
1090,Business and Financial Operations Occupations,1,Non-Hispanic Asian,37
1090,Business and Financial Operations Occupations,1,Non-Hispanic Black,22
1090,Business and Financial Operations Occupations,1,Non-Hispanic White,170
1090,Business and Financial Operations Occupations,2,Hispanic Other,58
1090,Business and Financial Operations Occupations,2,Hispanic White,48
1090,Business and Financial Operations Occupations,2,Non-Hispanic Black,14
1090,Business and Financial Operations Occupations,2,Non-Hispanic White,94
1090,Computer and Mathematical Occupations,1,Non-Hispanic Asian,87
1090,Computer and Mathematical Occupations,1,Non-Hispanic White,30
1090,Computer and Mathematical Occupations,2,Hispanic White,12
1090,Computer and Mathematical Occupations,2,Non-Hispanic White,40
1090,"Farming, Fishing, and Forestry Occupations",2,Non-Hispanic Black,38
1090,Food Preparation and Service Occupations,1,Hispanic Other,40
1090,Food Preparation and Service Occupations,1,Hispanic White,48
1090,Food Preparation and Service Occupations,1,Non-Hispanic Asian,14
1090,Food Preparation and Service Occupations,1,Non-Hispanic White,17
1090,Food Preparation and Service Occupations,2,Non-Hispanic Asian,8
1090,"Installation, Maintenance, and Repair Occupations",1,Hispanic Other,73
1090,"Installation, Maintenance, and Repair Occupations",1,Hispanic White,97
1090,"Installation, Maintenance, and Repair Occupations",1,Non-Hispanic White,88
1090,Legal Occupations,1,Non-Hispanic White,15
1090,"Life, Physical, and Social Science Occupations",1,Non-Hispanic Black,18
1090,"Life, Physical, and Social Science Occupations",2,Hispanic Other,32
1090,"Life, Physical, and Social Science Occupations",2,Non-Hispanic White,51
1090,Management Occupations,1,Hispanic Other,16
1090,Management Occupations,1,Hispanic White,71
1090,Management Occupations,1,Non-Hispanic Asian,15
1090,Management Occupations,1,Non-Hispanic Black,71
1090,Management Occupations,1,Non-Hispanic White,446
1090,Management Occupations,2,Non-Hispanic Asian,41
1090,Management Occupations,2,Non-Hispanic White,160
1090,Office and Administrative Support Occupations,1,Hispanic Other,48
1090,Office and Administrative Support Occupations,1,Non-Hispanic White,81
1090,Office and Administrative Support Occupations,2,Hispanic Other,61
1090,Office and Administrative Support Occupations,2,Hispanic White,63
1090,Office and Administrative Support Occupations,2,Non-Hispanic Asian,33
1090,Office and Administrative Support Occupations,2,Non-Hispanic White,258
1090,Production Occupations,1,Hispanic Other,212
1090,Production Occupations,1,Hispanic White,934
1090,Production Occupations,1,Non-Hispanic Asian,78
1090,Production Occupations,1,Non-Hispanic Black,71
1090,Production Occupations,1,Non-Hispanic White,321
1090,Production Occupations,2,Hispanic Other,234
1090,Production Occupations,2,Hispanic White,381
1090,Production Occupations,2,Non-Hispanic Asian,8
1090,Production Occupations,2,Non-Hispanic Black,56
1090,Production Occupations,2,Non-Hispanic Multiracial,10
1090,Production Occupations,2,Non-Hispanic White,215
1090,Protective Service Occupations,1,Hispanic White,29
1090,Sales and Related Occupations,1,Non-Hispanic Asian,24
1090,Sales and Related Occupations,1,Non-Hispanic White,149
1090,Sales and Related Occupations,2,Non-Hispanic White,82
1090,Tarnsportation and Material Moving Occupations,1,Hispanic Other,216
1090,Tarnsportation and Material Moving Occupations,1,Hispanic White,206
1090,Tarnsportation and Material Moving Occupations,1,Non-Hispanic Asian,56
1090,Tarnsportation and Material Moving Occupations,1,Non-Hispanic Black,96
1090,Tarnsportation and Material Moving Occupations,1,Non-Hispanic White,138
1090,Tarnsportation and Material Moving Occupations,2,Hispanic Other,162
1090,Tarnsportation and Material Moving Occupations,2,Hispanic White,275
1090,Tarnsportation and Material Moving Occupations,2,Non-Hispanic Black,46
1090,Tarnsportation and Material Moving Occupations,2,Non-Hispanic White,68
1170,Architecture and Engineering Occupations,1,Non-Hispanic White,36
1170,Architecture and Engineering Occupations,2,Non-Hispanic White,14
1170,"Arts, Design, Entertainment, Sports, and Media Occupations",2,Non-Hispanic White,13
1170,Building and Grounds Cleaning and Maintenance Occupations,1,Hispanic White,8
1170,Building and Grounds Cleaning and Maintenance Occupations,1,Non-Hispanic White,35
1170,Building and Grounds Cleaning and Maintenance Occupations,2,Hispanic Other,66
1170,Business and Financial Operations Occupations,1,Non-Hispanic White,99
1170,Business and Financial Operations Occupations,2,Hispanic Other,76
1170,Business and Financial Operations Occupations,2,Non-Hispanic Black,31
1170,Business and Financial Operations Occupations,2,Non-Hispanic White,145
1170,Computer and Mathematical Occupations,1,Non-Hispanic White,109
1170,Computer and Mathematical Occupations,2,Hispanic White,68
1170,Computer and Mathematical Occupations,2,Non-Hispanic Asian,24
1170,Computer and Mathematical Occupations,2,Non-Hispanic Black,67
1170,Computer and Mathematical Occupations,2,Non-Hispanic White,91
1170,Construction and Extraction Occupations,1,Non-Hispanic White,28
1170,"Farming, Fishing, and Forestry Occupations",1,Hispanic Multiracial,31
1170,"Installation, Maintenance, and Repair Occupations",1,Hispanic Multiracial,10
1170,"Installation, Maintenance, and Repair Occupations",1,Non-Hispanic White,21
1170,Legal Occupations,1,Non-Hispanic White,40
1170,"Life, Physical, and Social Science Occupations",1,Non-Hispanic Asian,59
1170,"Life, Physical, and Social Science Occupations",1,Non-Hispanic Black,17
1170,"Life, Physical, and Social Science Occupations",1,Non-Hispanic White,100
1170,"Life, Physical, and Social Science Occupations",2,Hispanic White,10
1170,"Life, Physical, and Social Science Occupations",2,Non-Hispanic Asian,20
1170,"Life, Physical, and Social Science Occupations",2,Non-Hispanic Black,36
1170,"Life, Physical, and Social Science Occupations",2,Non-Hispanic White,44
1170,Management Occupations,1,Hispanic Other,50
1170,Management Occupations,1,Hispanic White,13
1170,Management Occupations,1,Non-Hispanic Asian,68
1170,Management Occupations,1,Non-Hispanic White,287
1170,Management Occupations,2,Non-Hispanic Asian,32
1170,Management Occupations,2,Non-Hispanic Black,15
1170,Management Occupations,2,Non-Hispanic White,300
1170,Office and Administrative Support Occupations,1,Hispanic Other,42
1170,Office and Administrative Support Occupations,1,Non-Hispanic Asian,41
1170,Office and Administrative Support Occupations,1,Non-Hispanic White,126
1170,Office and Administrative Support Occupations,2,Hispanic White,37
1170,Office and Administrative Support Occupations,2,Non-Hispanic Asian,18
1170,Office and Administrative Support Occupations,2,Non-Hispanic White,125
1170,Production Occupations,1,Hispanic Multiracial,31
1170,Production Occupations,1,Hispanic White,250
1170,Production Occupations,1,Non-Hispanic Asian,31
1170,Production Occupations,1,Non-Hispanic Black,118
1170,Production Occupations,1,Non-Hispanic Multiracial,100
1170,Production Occupations,1,Non-Hispanic White,206
1170,Production Occupations,2,Hispanic Other,42
1170,Production Occupations,2,Hispanic White,202
1170,Production Occupations,2,Non-Hispanic Black,39
1170,Production Occupations,2,Non-Hispanic Other,19
1170,Production Occupations,2,Non-Hispanic White,59
1170,Protective Service Occupations,1,Non-Hispanic White,22
1170,Sales and Related Occupations,1,Hispanic White,36
1170,Sales and Related Occupations,1,Non-Hispanic White,37
1170,Sales and Related Occupations,2,Hispanic White,23
1170,Sales and Related Occupations,2,Non-Hispanic White,60
1170,Tarnsportation and Material Moving Occupations,1,Hispanic White,239
1170,Tarnsportation and Material Moving Occupations,1,Non-Hispanic Black,34
1170,Tarnsportation and Material Moving Occupations,1,Non-Hispanic White,188
1170,Tarnsportation and Material Moving Occupations,2,Hispanic AIAN,25
1170,Tarnsportation and Material Moving Occupations,2,Hispanic Other,76
1170,Tarnsportation and Material Moving Occupations,2,Hispanic White,30
1170,Tarnsportation and Material Moving Occupations,2,Non-Hispanic Asian,8
1170,Tarnsportation and Material Moving Occupations,2,Non-Hispanic White,20
1180,Architecture and Engineering Occupations,1,Non-Hispanic White,59
1180,Architecture and Engineering Occupations,2,Hispanic White,20
1180,Architecture and Engineering Occupations,2,Non-Hispanic Black,16
1180,"Arts, Design, Entertainment, Sports, and Media Occupations",2,Non-Hispanic White,28
1180,Building and Grounds Cleaning and Maintenance Occupations,1,Hispanic AIAN,15
1180,Building and Grounds Cleaning and Maintenance Occupations,1,Hispanic White,110
1180,Building and Grounds Cleaning and Maintenance Occupations,1,Non-Hispanic Black,72
1180,Building and Grounds Cleaning and Maintenance Occupations,1,Non-Hispanic White,91
1180,Building and Grounds Cleaning and Maintenance Occupations,2,Hispanic Other,15
1180,Business and Financial Operations Occupations,1,Hispanic White,18
1180,Business and Financial Operations Occupations,1,Non-Hispanic White,122
1180,Business and Financial Operations Occupations,2,Hispanic Other,42
1180,Business and Financial Operations Occupations,2,Hispanic White,33
1180,Business and Financial Operations Occupations,2,Non-Hispanic Asian,28
1180,Business and Financial Operations Occupations,2,Non-Hispanic White,149
1180,Computer and Mathematical Occupations,2,Hispanic Other,79
1180,Construction and Extraction Occupations,1,Non-Hispanic White,11
1180,Food Preparation and Service Occupations,1,Hispanic Other,28
1180,Food Preparation and Service Occupations,1,Hispanic White,27
1180,Food Preparation and Service Occupations,1,Non-Hispanic Black,25
1180,Food Preparation and Service Occupations,1,Non-Hispanic White,63
1180,Food Preparation and Service Occupations,2,Non-Hispanic Asian,22
1180,Food Preparation and Service Occupations,2,Non-Hispanic White,68
1180,"Installation, Maintenance, and Repair Occupations",1,Hispanic Other,54
1180,"Installation, Maintenance, and Repair Occupations",1,Hispanic White,161
1180,"Installation, Maintenance, and Repair Occupations",1,Non-Hispanic White,276
1180,"Life, Physical, and Social Science Occupations",1,Non-Hispanic Black,13
1180,"Life, Physical, and Social Science Occupations",1,Non-Hispanic White,22
1180,"Life, Physical, and Social Science Occupations",2,Non-Hispanic Asian,26
1180,"Life, Physical, and Social Science Occupations",2,Non-Hispanic White,83
1180,Management Occupations,1,Hispanic Other,84
1180,Management Occupations,1,Hispanic White,43
1180,Management Occupations,1,Non-Hispanic White,400
1180,Management Occupations,2,Hispanic White,56
1180,Management Occupations,2,Non-Hispanic Black,60
1180,Management Occupations,2,Non-Hispanic White,297
1180,Office and Administrative Support Occupations,1,Hispanic Other,266
1180,Office and Administrative Support Occupations,1,Hispanic White,55
1180,Office and Administrative Support Occupations,1,Non-Hispanic Black,35
1180,Office and Administrative Support Occupations,1,Non-Hispanic White,109
1180,Office and Administrative Support Occupations,2,Hispanic Other,23
1180,Office and Administrative Support Occupations,2,Hispanic White,115
1180,Office and Administrative Support Occupations,2,Non-Hispanic Asian,10
1180,Office and Administrative Support Occupations,2,Non-Hispanic Black,19
1180,Office and Administrative Support Occupations,2,Non-Hispanic White,275
1180,Production Occupations,1,Hispanic Multiracial,9
1180,Production Occupations,1,Hispanic Other,1488
1180,Production Occupations,1,Hispanic White,1615
1180,Production Occupations,1,Non-Hispanic Asian,321
1180,Production Occupations,1,Non-Hispanic Black,358
1180,Production Occupations,1,Non-Hispanic White,871
1180,Production Occupations,2,Hispanic AIAN,26
1180,Production Occupations,2,Hispanic Multiracial,30
1180,Production Occupations,2,Hispanic Other,1185
1180,Production Occupations,2,Hispanic White,740
1180,Production Occupations,2,Non-Hispanic Asian,358
1180,Production Occupations,2,Non-Hispanic Black,364
1180,Production Occupations,2,Non-Hispanic White,797
1180,Protective Service Occupations,1,Non-Hispanic Black,24
1180,Protective Service Occupations,1,Non-Hispanic White,21
1180,Sales and Related Occupations,1,Non-Hispanic Asian,19
1180,Sales and Related Occupations,1,Non-Hispanic White,102
1180,Sales and Related Occupations,2,Hispanic White,47
1180,Sales and Related Occupations,2,Non-Hispanic Black,34
1180,Sales and Related Occupations,2,Non-Hispanic White,146
1180,Tarnsportation and Material Moving Occupations,1,Hispanic Black,11
1180,Tarnsportation and Material Moving Occupations,1,Hispanic Other,872
1180,Tarnsportation and Material Moving Occupations,1,Hispanic White,403
1180,Tarnsportation and Material Moving Occupations,1,Non-Hispanic Black,314
1180,Tarnsportation and Material Moving Occupations,1,Non-Hispanic White,343
1180,Tarnsportation and Material Moving Occupations,2,Hispanic AIAN,28
1180,Tarnsportation and Material Moving Occupations,2,Hispanic Other,262
1180,Tarnsportation and Material Moving Occupations,2,Hispanic White,265
1180,Tarnsportation and Material Moving Occupations,2,Non-Hispanic Asian,36
1180,Tarnsportation and Material Moving Occupations,2,Non-Hispanic Black,163
1180,Tarnsportation and Material Moving Occupations,2,Non-Hispanic White,182
1190,Architecture and Engineering Occupations,1,Hispanic Other,18
1190,Architecture and Engineering Occupations,1,Non-Hispanic White,6
1190,"Arts, Design, Entertainment, Sports, and Media Occupations",2,Non-Hispanic White,60
1190,Building and Grounds Cleaning and Maintenance Occupations,1,Hispanic Other,29
1190,Building and Grounds Cleaning and Maintenance Occupations,2,Non-Hispanic White,15
1190,Business and Financial Operations Occupations,1,Non-Hispanic White,21
1190,Food Preparation and Service Occupations,1,Hispanic Other,64
1190,Food Preparation and Service Occupations,1,Hispanic White,82
1190,Food Preparation and Service Occupations,1,Non-Hispanic White,112
1190,Food Preparation and Service Occupations,2,Hispanic Other,63
1190,Food Preparation and Service Occupations,2,Non-Hispanic Black,19
1190,Food Preparation and Service Occupations,2,Non-Hispanic White,179
1190,Healthcare Practitioners and Technical Occupations,2,Non-Hispanic White,33
1190,"Installation, Maintenance, and Repair Occupations",1,Hispanic White,9
1190,"Installation, Maintenance, and Repair Occupations",1,Non-Hispanic White,22
1190,Management Occupations,1,Non-Hispanic White,26
1190,Management Occupations,2,Non-Hispanic White,86
1190,Office and Administrative Support Occupations,1,Hispanic Other,22
1190,Office and Administrative Support Occupations,1,Hispanic White,82
1190,Office and Administrative Support Occupations,1,Non-Hispanic White,63
1190,Office and Administrative Support Occupations,2,Hispanic Other,101
1190,Office and Administrative Support Occupations,2,Hispanic White,73
1190,Office and Administrative Support Occupations,2,Non-Hispanic White,217
1190,Production Occupations,1,Hispanic Asian,32
1190,Production Occupations,1,Hispanic Other,551
1190,Production Occupations,1,Hispanic White,319
1190,Production Occupations,1,Non-Hispanic Asian,137
1190,Production Occupations,1,Non-Hispanic Black,105
1190,Production Occupations,1,Non-Hispanic Multiracial,9
1190,Production Occupations,1,Non-Hispanic White,438
1190,Production Occupations,2,Hispanic Multiracial,31
1190,Production Occupations,2,Hispanic Other,119
1190,Production Occupations,2,Hispanic White,225
1190,Production Occupations,2,Non-Hispanic Asian,39
1190,Production Occupations,2,Non-Hispanic Black,176
1190,Production Occupations,2,Non-Hispanic White,1268
1190,Sales and Related Occupations,1,Hispanic Other,74
1190,Sales and Related Occupations,1,Hispanic White,41
1190,Sales and Related Occupations,1,Non-Hispanic Asian,16
1190,Sales and Related Occupations,1,Non-Hispanic Black,15
1190,Sales and Related Occupations,1,Non-Hispanic White,438
1190,Sales and Related Occupations,2,Hispanic Other,155
1190,Sales and Related Occupations,2,Hispanic White,342
1190,Sales and Related Occupations,2,Non-Hispanic Asian,107
1190,Sales and Related Occupations,2,Non-Hispanic Black,78
1190,Sales and Related Occupations,2,Non-Hispanic Multiracial,42
1190,Sales and Related Occupations,2,Non-Hispanic White,1359
1190,Tarnsportation and Material Moving Occupations,1,Hispanic Other,65
1190,Tarnsportation and Material Moving Occupations,1,Hispanic White,42
1190,Tarnsportation and Material Moving Occupations,1,Non-Hispanic Black,19
1190,Tarnsportation and Material Moving Occupations,1,Non-Hispanic White,218
1190,Tarnsportation and Material Moving Occupations,2,Hispanic Other,41
1190,Tarnsportation and Material Moving Occupations,2,Hispanic White,23
1190,Tarnsportation and Material Moving Occupations,2,Non-Hispanic Asian,15
1190,Tarnsportation and Material Moving Occupations,2,Non-Hispanic Black,45
1190,Tarnsportation and Material Moving Occupations,2,Non-Hispanic White,157
1270,Architecture and Engineering Occupations,1,Non-Hispanic White,43
1270,Architecture and Engineering Occupations,2,Hispanic Other,15
1270,Architecture and Engineering Occupations,2,Non-Hispanic White,54
1270,Building and Grounds Cleaning and Maintenance Occupations,1,Hispanic Other,15
1270,Building and Grounds Cleaning and Maintenance Occupations,1,Hispanic White,41
1270,Building and Grounds Cleaning and Maintenance Occupations,1,Non-Hispanic Black,42
1270,Building and Grounds Cleaning and Maintenance Occupations,1,Non-Hispanic White,38
1270,Business and Financial Operations Occupations,1,Non-Hispanic AIAN,34
1270,Business and Financial Operations Occupations,1,Non-Hispanic White,117
1270,Business and Financial Operations Occupations,2,Hispanic Multiracial,30
1270,Business and Financial Operations Occupations,2,Hispanic White,100
1270,Business and Financial Operations Occupations,2,Non-Hispanic Asian,19
1270,Business and Financial Operations Occupations,2,Non-Hispanic Black,44
1270,Business and Financial Operations Occupations,2,Non-Hispanic Multiracial,18
1270,Business and Financial Operations Occupations,2,Non-Hispanic White,287
1270,Computer and Mathematical Occupations,1,Non-Hispanic White,44
1270,Computer and Mathematical Occupations,2,Non-Hispanic White,30
1270,Construction and Extraction Occupations,1,Non-Hispanic White,17
1270,Food Preparation and Service Occupations,1,Hispanic Other,40
1270,Food Preparation and Service Occupations,1,Hispanic White,136
1270,Food Preparation and Service Occupations,1,Non-Hispanic Asian,20
1270,Food Preparation and Service Occupations,1,Non-Hispanic Black,109
1270,Food Preparation and Service Occupations,1,Non-Hispanic White,14
1270,Food Preparation and Service Occupations,2,Hispanic White,49
1270,Food Preparation and Service Occupations,2,Non-Hispanic White,77
1270,Healthcare Practitioners and Technical Occupations,1,Non-Hispanic White,5
1270,"Installation, Maintenance, and Repair Occupations",1,Hispanic Multiracial,30
1270,"Installation, Maintenance, and Repair Occupations",1,Hispanic White,76
1270,"Installation, Maintenance, and Repair Occupations",1,Non-Hispanic Black,82
1270,"Installation, Maintenance, and Repair Occupations",1,Non-Hispanic White,227
1270,"Life, Physical, and Social Science Occupations",1,Hispanic White,31
1270,"Life, Physical, and Social Science Occupations",1,Non-Hispanic Asian,23
1270,"Life, Physical, and Social Science Occupations",1,Non-Hispanic White,56
1270,Management Occupations,1,Hispanic White,43
1270,Management Occupations,1,Non-Hispanic Asian,39
1270,Management Occupations,1,Non-Hispanic White,609
1270,Management Occupations,2,Hispanic White,49
1270,Management Occupations,2,Non-Hispanic Asian,32
1270,Management Occupations,2,Non-Hispanic White,98
1270,Office and Administrative Support Occupations,1,Hispanic Other,78
1270,Office and Administrative Support Occupations,1,Hispanic White,91
1270,Office and Administrative Support Occupations,1,Non-Hispanic Asian,6
1270,Office and Administrative Support Occupations,1,Non-Hispanic Black,25
1270,Office and Administrative Support Occupations,1,Non-Hispanic Multiracial,17
1270,Office and Administrative Support Occupations,1,Non-Hispanic White,160
1270,Office and Administrative Support Occupations,2,Hispanic Other,133
